"math" "writing" "gender" "race.ethnicity" "parental.level.of.education" "lunch" "test.preparation.course"
77 2211.7361 "male" "group D" "some high school" "standard" "completed"
72 2477.6336 "male" "group C" "master's degree" "free/reduced" "completed"
78 6470.0816 "female" "group D" "master's degree" "standard" "none"
81 1850.3056 "male" "group C" "high school" "standard" "none"
61 1676.5201 "male" "group A" "some high school" "free/reduced" "completed"
58 1676.5201 "female" "group B" "high school" "standard" "none"
54 1530.8416 "female" "group C" "associate's degree" "standard" "none"
82 3401 "male" "group B" "high school" "standard" "none"
49 1625 "female" "group D" "some college" "free/reduced" "none"
49 1311.1696 "male" "group B" "some high school" "free/reduced" "completed"
57 2575.2961 "female" "group E" "high school" "free/reduced" "completed"
94 2384.5841 "male" "group E" "high school" "standard" "none"
75 3839.8241 "female" "group D" "some college" "standard" "completed"
74 2477.6336 "female" "group E" "some high school" "free/reduced" "none"
58 1374.8096 "male" "group C" "high school" "standard" "completed"
62 2211.7361 "female" "group C" "some college" "standard" "none"
72 1731.1616 "male" "group E" "associate's degree" "standard" "none"
84 3541.1681 "male" "group C" "some college" "standard" "none"
92 7561 "female" "group D" "master's degree" "standard" "none"
45 1576.4801 "female" "group D" "high school" "standard" "none"
75 2384.5841 "male" "group C" "high school" "standard" "none"
56 1850.3056 "female" "group A" "some college" "standard" "none"
48 1341.8801 "female" "group D" "some high school" "free/reduced" "none"
100 7561 "female" "group E" "associate's degree" "standard" "none"
65 2785.0625 "female" "group C" "some high school" "free/reduced" "completed"
72 1530.8416 "male" "group D" "some college" "standard" "none"
62 2477.6336 "female" "group D" "some college" "standard" "none"
66 1850.3056 "male" "group A" "some high school" "standard" "completed"
63 1625 "male" "group C" "some college" "standard" "none"
68 2055.6001 "female" "group E" "associate's degree" "standard" "none"
75 3401 "female" "group B" "bachelor's degree" "standard" "none"
89 7561 "female" "group D" "bachelor's degree" "standard" "none"
78 2211.7361 "male" "group C" "some high school" "standard" "completed"
53 1625 "female" "group A" "high school" "free/reduced" "completed"
49 1676.5201 "female" "group D" "some college" "free/reduced" "none"
54 2055.6001 "female" "group A" "some college" "standard" "none"
64 3015.1121 "female" "group C" "some college" "standard" "completed"
60 1625 "male" "group B" "some college" "free/reduced" "completed"
62 1530.8416 "male" "group C" "associate's degree" "standard" "none"
55 1208.5136 "male" "group D" "high school" "standard" "completed"
91 5978.7136 "female" "group C" "associate's degree" "standard" "none"
8 1002.8561 "female" "group B" "high school" "free/reduced" "none"
81 3138.1376 "male" "group D" "some high school" "standard" "none"
79 4336.2176 "male" "group B" "some high school" "standard" "completed"
78 5304.6721 "female" "group A" "some college" "standard" "completed"
74 3687.3856 "female" "group C" "some high school" "standard" "none"
57 1374.8096 "male" "group A" "high school" "standard" "none"
40 1282.5761 "female" "group C" "associate's degree" "standard" "none"
81 2897.4736 "male" "group E" "some high school" "standard" "completed"
44 1150.0625 "female" "group A" "some high school" "free/reduced" "none"
67 3839.8241 "female" "group D" "some college" "free/reduced" "completed"
86 2785.0625 "male" "group E" "high school" "free/reduced" "completed"
65 3138.1376 "female" "group B" "some high school" "standard" "completed"
55 2897.4736 "female" "group D" "associate's degree" "free/reduced" "none"
62 2677.7216 "female" "group D" "bachelor's degree" "free/reduced" "none"
63 1731.1616 "male" "group A" "high school" "standard" "none"
88 6220.0625 "female" "group E" "master's degree" "standard" "completed"
62 1410.0625 "male" "group C" "high school" "free/reduced" "none"
59 1915.0625 "female" "group C" "high school" "free/reduced" "completed"
68 3015.1121 "female" "group D" "some college" "standard" "completed"
77 4336.2176 "female" "group D" "some college" "free/reduced" "none"
